IMAGE,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,IMAGE_HEIGHT,IMAGE_WIDTH
cju88y1mwoln50871emyfny1g.jpg,1,0.4825520833333334,0.4541666666666666,455,2670,7,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,2,0.2369791666666666,0.4764322916666666,181,1800,512,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,3,0.2023437499999999,0.3373697916666667,470,1449,723,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,4,0.078515625,0.5108072916666667,274,1557,1233,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,5,0.117578125,0.7805989583333334,252,1802,1551,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,6,0.2238281249999999,0.6865885416666666,366,1867,1831,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,7,0.408203125,0.8686197916666667,273,1853,2236,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,8,0.6524739583333333,0.8614583333333333,246,1889,2545,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,9,0.7722656250000001,0.7243489583333332,252,1878,2822,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,10,0.738671875,0.6139322916666666,312,1922,3095,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,11,0.5579427083333334,0.516015625,176,1973,3450,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,12,0.6111979166666667,0.5,135,1996,3640,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,13,0.4692708333333333,0.3087239583333333,754,2023,3819,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,14,0.2485677083333333,0.3759114583333333,203,2275,4608,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,15,0.1748697916666667,0.3609374999999999,343,2072,4834,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,16,0.0908854166666666,0.5576822916666667,317,1906,5209,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,17,0.3643229166666666,0.438671875,287,2060,5575,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,18,0.3233072916666666,0.344140625,241,1885,5881,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,19,0.2989583333333334,0.5867187500000001,325,1928,6160,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,20,0.4473958333333334,0.5578124999999999,395,1793,6520,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,21,0.5623697916666667,0.7486979166666666,361,1604,6942,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,22,0.64453125,0.8032552083333333,342,1504,7325,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,23,0.7942708333333334,0.7195312500000001,321,1503,7697,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,24,0.7005208333333334,0.58828125,116,1773,8046,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,25,0.3490885416666667,0.349609375,353,1982,8223,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,26,0.1283854166666666,0.4891927083333333,171,2001,8620,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,27,0.4942708333333334,0.7686197916666666,363,1988,8844,529.0,621.0
cju88y1mwoln50871emyfny1g.jpg,28,0.42421875,0.4501302083333333,125,1874,9266,529.0,621.0
cju5hi52odyf90817prvcwg45.jpg,1,0.467578125,0.4803385416666666,299,2233,7,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,2,0.47109375,0.3072916666666667,477,1832,333,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,3,0.266015625,0.398828125,312,1727,845,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,4,0.2209635416666666,0.4919270833333333,305,1956,1181,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,5,0.2634114583333333,0.7458333333333332,451,1910,1530,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,6,0.6170572916666667,0.7471354166666666,253,2004,2028,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,7,0.6307291666666667,0.5688802083333333,221,2155,2316,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,8,0.6204427083333334,0.4639322916666666,475,2149,2564,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,9,0.43046875,0.33671875,233,2244,3080,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,10,0.5115885416666667,0.309765625,263,2154,3337,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,11,0.290234375,0.5618489583333334,707,1995,3648,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,12,0.1591145833333333,0.6662760416666667,284,1689,4392,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,13,0.3414062499999999,0.8213541666666666,420,1819,4706,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,14,0.4569010416666666,0.6108072916666667,152,2061,5172,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,15,0.6339843749999999,0.5283854166666667,517,2057,5353,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,16,0.3291666666666666,0.4529947916666666,434,2005,5919,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,17,0.1598958333333333,0.5436197916666666,311,2085,6381,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,18,0.37734375,0.5498697916666667,296,2145,6730,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,19,0.4553385416666666,0.3850260416666666,207,2102,7066,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,20,0.4520833333333333,0.5395833333333333,270,2000,7300,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,21,0.248828125,0.5421874999999999,228,2062,7613,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,22,0.1697916666666666,0.6770833333333334,315,1983,7884,352.0,568.0
cju5hi52odyf90817prvcwg45.jpg,23,0.4782552083333333,0.3686197916666667,52,2174,8253,352.0,568.0
cju1cyjb5qtie0993njqne9m3.jpg,1,0.4841145833333333,0.4954427083333333,252,2196,7,547.0,626.0
